index,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
542,"Hillary’s 33,000 deleted emails about her daughter’s wedding. That’s a lot of wedding emails. #debate",FALSE,32985,NA,10/10/2016 1:29,FALSE,NA,7.85291E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,13138,FALSE,FALSE,NA,NA
543,Basically nothing Hillary has said about her secret server has been true. #CrookedHillary,FALSE,23373,NA,10/10/2016 1:28,FALSE,NA,7.85291E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,8249,FALSE,FALSE,NA,NA
544,If I win-I am going to instruct my AG to get a special prosecutor to look into your situation bc there's never been anything like your lies.,FALSE,40639,NA,10/10/2016 1:27,FALSE,NA,7.85291E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,15661,FALSE,FALSE,NA,NA
545,"Donald J. Trump's History Of Empowering Women #BigLeagueTruth
https://t.co/oY2YSPz7nB",FALSE,9283,NA,10/10/2016 1:24,FALSE,NA,7.8529E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3712,FALSE,FALSE,NA,NA
546,There’s never been anyone more abusive to women in politics than Bill Clinton.My words were unfortunate-the Clintons’ actions were far worse,FALSE,37760,NA,10/10/2016 1:23,FALSE,NA,7.8529E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,14155,FALSE,FALSE,NA,NA
547,I’m not proud of my locker room talk. But this world has serious problems. We need serious leaders. #debate #BigLeagueTruth,FALSE,24205,NA,10/10/2016 1:13,FALSE,NA,7.85287E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,8272,FALSE,FALSE,NA,NA
548,It’s this simple. “Make America Great Again.” #debate #BigLeagueTruth,FALSE,14570,NA,10/10/2016 1:11,FALSE,NA,7.85287E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,5803,FALSE,FALSE,NA,NA
549,"My team of deplorables will be taking over my Twitter account for tonight's #debate
#MakeAmericaGreatAgain",FALSE,41436,NA,10/10/2016 0:24,FALSE,NA,7.85275E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,12681,FALSE,FALSE,NA,NA
550,Join me on #FacebookLive as I conclude my final #debate preparations. https://t.co/gAbNvI8Fd7,FALSE,13382,NA,10/9/2016 23:26,FALSE,NA,7.8526E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",realDonaldTrump,4533,FALSE,FALSE,NA,NA
551,"The Palestinian terror attack today reminds the world of the grievous perils facing Israeli citizens....continued:
https://t.co/d2Upx5FitC",FALSE,17273,NA,10/9/2016 22:26,FALSE,NA,7.85245E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7114,FALSE,FALSE,NA,NA
552,"Exclusive Video–Broaddrick, Willey, Jones to Bill's Defenders: ‘These Are Crimes,’ ‘Terrified’ of ‘Enabler’ Hillary 
https://t.co/DMfLsIbtU1",FALSE,23923,NA,10/9/2016 17:16,FALSE,NA,7.85167E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13906,FALSE,FALSE,NA,NA
553,"LA Times- USC Dornsife Sunday Poll: Donald Trump Retains 2 Point Lead Over Hillary:
https://t.co/n05rul4Ycw",FALSE,22734,NA,10/9/2016 16:02,FALSE,NA,7.85148E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,10011,FALSE,FALSE,NA,NA
